canonical_name,level,parent,aliases
Dubai,city,,"dub, dubi, dubay, dabai, dabay, duba, db, dby, dbai"
Al Aweer,community,Dubai,"aweer, aw, al aw, aweer area, aweer com, al awir, al awer, al aweir, al awear, al aweeer, al awyr, al aweerr, alaweer, dubai aweer, aweer dubai, dxb aweer, dby aweer, dubai al aweer, al aweer dubai, dubaialaweer"
Al Mina,community,Dubai,"mina, almena, elmina, el mena, almina, dubai al mina, al mina dubai, am, al minna, min, al mian"
Arabian Ranches 3,community,Dubai,"ar3, ranches 3, ar ranches 3, ranchesiii, ar ranches iii, ranches, arb ranches, arb ranches 3, arabian ranchs 3, arbian ranches 3, arabian ranche 3, arbian ranchs 3, ranche 3, arabianranches3, ranches3, arabianranchesiii, dubai ar3, dubai ranches 3, dubai arabian ranches 3, dubai ranchesiii"
Dragon City,community,Dubai,"dc, dcity, dragonc, dragoncity, dragon, dragn city, drgon city, dragon cty, dragen city, drgn city, dubai dc, dc dubai, dubai dragon, dragon dubai, dragncity, drgoncity, dragon c"
Dubai Design District,community,Dubai,"ddd, d d d, d3, design district, des dist, dsgn dist, design, district, dubaidesigndistrict, designdistrict, designdist, dubaid3, desin district, disign district, dsign district, desine district, desgn district, desin dist, desin, disrict, dubai ddd, dubai d3, design district dubai, d3 dubai"
Dubai Hills Estate,community,Dubai,"dhe, dh, dubai hills, hills, hills estate, dubai hils, dubai hilss, dubay hills, dubi hills, dubai hills est, dubaihills, dubaihillsestate, dubaihillz, dubai hls, d hills, hills est, dubai hills etate, dubai hills estat"
Dubai Outsource Zone,community,Dubai,"doz, doz community, outsource zone, dubai outsource, outsource, dubai outsorce zone, dubai outsourse zone, dubai outsourc zone, dubai outsorce, dubai outsorcezone, dubai outsorce zonne, dubai outsurce zone, dubai otsource zone, dubai outsorce zon, dubai outsurce, dubaioutsourcezone, outsourcezone, dubaioutsource, dubai doz, doz dubai, outsource zone dubai"
Dubai Studio City,community,Dubai,"dsc, studio city, studios, studio cty, dubai studio, studiocity, dscity, dubai studo city, dubai stidio city, dubai studio citi, dubai studo cty, duba studio city, dubai studeo city, studio citi, dxb studio city, dxbstudiocity, dubai sc, studio, dubai stduio city, dubai stodio city, scity"
Mina Rashid,community,Dubai,"mr, mina, rashid, mina rash, mena rashid, mina rashed, mina rasheed, mena rashed, mena rasheed, minarashid, minarash, dubai mina rashid, mina rashid dubai, dubai mr, mr dubai, minrashid, mina rashd, minna rashid, mina rashidd"
Mohammed Bin Rashid City,community,Dubai,"mbr, mbrc, mbr city, mo bin rashid, mo rashid, rashid city, mohammad bin rashid, mohmed bin rashid, mohd bin rashid, mohammad bin rashed, mhd bin rashid, mohamad bin rashid, mohamad bin rashed, mohammedbinrashid, mbrcity, mohdbrc, dubai mbr, dubai mbrc, dubai mbr city, mbr dubai, mbrc dubai, mbr city dubai"
Murqquab,community,Dubai,"mqq, mrq, murq, murqab, murkab, murgab, murqub, murquab, marqab, marqquab, murqb, dubaimurqab, murqabdxb, dubaimurqquab, murqquabdxb, murk"
Oud Al Muteena,community,Dubai,"oam, oud muteena, oud mut, muteena, oud, ood al muteena, oud al mutena, oud al mutina, oud mutena, oud mutina, mutena, muteina, mutina, oudalmuteena, oudmuteena, oudalmutena, oudmutena, dubai oud al muteena, oud al muteena dubai, dubai oam, oam dubai, dubai oud muteena"
Reem,community,Dubai,"rem, ream, raam, riem, rym, dubaireem, reemdubai, dbaireem, reemdbai"
The Hills,community,Dubai,"th, hills, hls, the hls, the hils, the hilz, thehill, th hills, thehlls, thehills, thehls, thehils, the hills dubai, hills dubai, dubai hills, db hills"
The Valley,community,Dubai,"valley, tv, vally, valey, vallay, vly, thevalley, thevally, thevaley, dubai valley, valley dubai, dubai the valley, tv dubai, dubai tv, valleydubai"
Wasl Gate,community,Dubai,"wg, wasl, w gate, wasl g, waslgate, wasel, wasel gate, waselgate, wsal, wsal gate, waisl, waisl gate, waislgate, wasl gat, dubai wg, dubai wasl, dubai waslgate"
Zabeel,community,Dubai,"zab, zbl, zabel, zabiel, zabil, zabell, dubai zabeel, zabeel dubai, dxb zabeel, zabeel dxb"
399 Hills Park,subcommunity,"Dubai Hills Estate, Dubai","hills park, 399hp, hlp, hlsprk, 399 hills, hills 399, dhills hills park, hills park dh, hills park dubai, dhills park, 399 hills park dubai hills estate"
777,subcommunity,"Dubai Hills Estate, Dubai","777dhe, 777dubaihills, 777dh, 777dubai hills, 777hills, 777estate, 777h, 777dhills, d777, dh777, 777dubai, d777h, 777dubaihi, 777dhestate"
Address Hillcrest,subcommunity,"Dubai Hills Estate, Dubai","ahillcrest, hillcrest, dh ahillcrest, dh hillcrest, addressh, hillcrestdhe, hillcrestdubaihills, dhah, hillcrestdh, hillcrst, hilcrest, adrshillcrest, adrsh, adrhillcrst, adrhilcrest, hllcrest, hillcrestuae, dh addresshillcrest, haddresshillcrest"
Address Residences Dubai Hills Estate,subcommunity,"Dubai Hills Estate, Dubai","addres residences dhi, address dhi, address res dhi, dhi address residences, dhi address, address residence, addres res, dhiaddres, dhiaddress, addresresidences, dhi residences, addres dhi, dresidences, adresses residences"
Al Aweer 1,subcommunity,"Al Aweer, Dubai","alaweer1, a al a w e e r 1, al awer 1, alaweerone, 1 al a w e e r, al a w e e r, al a w e e r 1, al aweer, al a w e e r one, alaweer1 dubai"
Al Aweer Village,subcommunity,"Al Aweer, Dubai","al aweer vlg, aweer village, al awer, aweer, al awiir, al aweiir, al aweer v, aweervillage, al a. vlg, village aweer, al aweer vlg dubai"
Al Hudaiba Award Building,subcommunity,"Al Mina, Dubai","al hudaiba award bldg, hudaiba award, al hudaiba, hudaiba, hudaiba award bldg, al hudaiba award, al hudaiba bldg, hudaiba award building, alhudaiba award, alhudaiba, ahudaiba, al hudaiba award bldg al mina, al hudaiba al mina"
Al Murooj Complex,subcommunity,"Zabeel, Dubai","al murooj, murooj complex, murooj, al murooj zabeel, murooj zabeel, a.murooj, amurooj, almurooj, mroj, muroojc"
Al Shaiba Building,subcommunity,"Dubai Outsource Zone, Dubai","al shaiba bldg, shaiba bldg, al shaiba, shaiba, ashaiba, al shaibabuilding, shaibabuilding, dubai outsource zone al shaiba, al shaiba dubai outsource zone"
Alana,subcommunity,"The Valley, Dubai","alana tw, alana the valley, alana valley, the valley alana, valley alana, alna, alanna, alanna tw, alana@thevalley, alana.tv, atv alana, alana2, alana2.0"
Anya,subcommunity,"Arabian Ranches 3, Dubai","anya 3, arabian ranches 3 anya, arabianranches3 anya, ar 3 anya, aranyas, aranyas3"
Anya 2,subcommunity,"Arabian Ranches 3, Dubai","anyaii, anya2, ar3 anya, anya ranch3, anya ranches 3, anya r3, anya iii, anya two, anya-2, anya2 sub, anya phase 2, ar3 anya 2, anya 2nd, anya, anyia 2, anya ranches, anya2 ar3"
Arabic Villas,subcommunity,"Mohammed Bin Rashid City, Dubai","arb villas, arabic vils, arab villas, arabic villa, arabicvillas, arbvillas, mbrc arabic villas, arabic villas mbrc, arabic villlas, arbic villas, arabic villas mbr, mbr arabic villas, arabic villas city"
Avonlea,subcommunity,"Mina Rashid, Dubai","avnlea, avonlea mr, avonlea mina rashid, avonle, avonlea community, mr avonlea, avn lea, avon lea, avonlea dubai, avnlea mr, avn le"
Azizi Beach Oasis,subcommunity,"Dubai Studio City, Dubai","azizi oasis, studio city oasis, azizi beach, azizi studio city, azizibeachoasis, azizioasis, studio city azizi, azizi oasis dsc, azizibeachoasiss, azizi oasiss, azizibeach oasis, azizi beach oas, azizis studio city, dsc azizi oasis"
Azizi Beach Oasis 2,subcommunity,"Dubai Studio City, Dubai","azizi beach oasis ii, abo 2, abo2, azizibo2, azizibechoasis2, beach oasis 2, beach oasis ii, studio city beach oasis, beach oasis studio city, azizibeachoasiss2, azizi beach osis 2, azizi beach oases 2, azizi bch oasis 2, azizibeachoasis ii, azizibechoasisii"
Azizi Mirage,subcommunity,"Dubai Studio City, Dubai","az mirage, azizi mirg, az mirg, azizimirage, azizimirg, dsc azizi, studio city azizi, azizi studio city, az mirage studio city, azizi mirage dsc, az mirage dsc, azizimirage dsc, azizimiragedubai, azizimirag, azizi miragee, azzi mirage, azizi mirah, azizi miraje, azzi mirg, azizi mrg"
Azizi Vista,subcommunity,"Dubai Studio City, Dubai","az vista, azizivista, az vista studio city, azizi studio city, azv, azivista, azizivista studio city, azizi vista dsc, azizi vista studio city, azizivista dsc, azizi vista dubai studio city, azizivista dubai studio city"
Bayline,subcommunity,"Mina Rashid, Dubai","bl, bay line, bayline mina, mina bayline, bayline mr, bayline rashid, bay line mina, baylin, bay lne, baylyne, byln, bayliner, bayline emaar, bayline dubai"
Beach Oasis 2,subcommunity,"Dubai Studio City, Dubai","bo 2, beach oasis ii, beachoasis2, bo2, dsc beach oasis, beach oasis dsc, beach oasis studio city, beach oasis, b o 2, beach oases 2, beach oasis two, beachoasis ii, dscp beach oasis, studio city beach oasis 2"
Berkeley Place,subcommunity,"Mohammed Bin Rashid City, Dubai","berkeleyp, bp, berkeley plc, berkeley mbr, mbr berkeley, berkeleypl, berkeleyplace, berkely place, berkeley plac, berkeely place, berkeley p, berkeley mbrc, mbrc berkeley, berkley place, berkeleyplace mbr, bpl, berkeley pl, berkeley-place"
Bliss,subcommunity,"Arabian Ranches 3, Dubai","blis, blis ar3, ar3 blis, ar 3 bliss, arabian ranches 3 bliss, ar 3 sub, blis ranches, bliss ar, ar3b, bliss ar3, bliss r3, bliss ranch, blisss, arabian ranches bliss"
Bliss 2,subcommunity,"Arabian Ranches 3, Dubai","bliss ii, bliss2, bliss 2 ar3, ar3 bliss 2, bliss two, bliss2 ar3, ar3 bliss2, bliss2 ranch, ranch bliss 2, bliss2 ranches, ranches bliss 2, bliss ii ar3, ar3 bliss ii, blis 2, bliss2dubai, bliss2 dxb"
Caya,subcommunity,"Arabian Ranches 3, Dubai","caya ar3, ar3 caya, caya ranches, caya ar, ar iii caya, caya ar 3, caya arthree, ar3caya, cayaranches, cayaa, caaya, caya 3, ar3 caya sub, caya community, ar3 sub, caya phase 3"
Caya 2,subcommunity,"Arabian Ranches 3, Dubai","c2, cayaii, caya two, ar3 caya 2, ar3 caya ii, caya2 ar3, cayaii ar3, caya 2 aranches, caya2 arabian ranches, cayaii arabian ranches, caya2 ranches, cay2, caya sub2, aranches 3 caya 2, caya 2 sub, cayaa 2, caya 22, caya tw0"
Celia Residence,subcommunity,"Dubai Studio City, Dubai","celia res, celia, celia resid, celiaresidence, celia resi, celia residnce, celia residance, celia resd, celiares, dsc celia, celia dsc, celia studio city, celia residence dsc, celia res dsc, celiar residence, celiars, celia resi dsc"
Claydon House,subcommunity,"Mohammed Bin Rashid City, Dubai","claydon, claydon hse, claydonhouse, claydon mbrc, mbrc claydon, claydon house mbr, claydon h, clayden house, claydon hus, clydon house, claydonh, claydonmbr, mbrclaydon"
